x	y	label	showSelected
0.5	0.5	APOL6	APOL6
0.5	0.5	APOLD1	APOLD1
0.5	0.5	APOO	APOO
0.5	0.5	APOOL	APOOL
0.5	0.5	APP	APP
0.5	0.5	APPBP2	APPBP2
0.5	0.5	APPL1	APPL1
0.5	0.5	APPL2	APPL2
0.5	0.5	APRT	APRT
0.5	0.5	APTX	APTX
0.5	0.5	AQP1	AQP1
0.5	0.5	AQP11	AQP11
0.5	0.5	AQP3	AQP3
0.5	0.5	AQR	AQR
0.5	0.5	ARAF	ARAF
0.5	0.5	ARAP1	ARAP1
0.5	0.5	ARAP2	ARAP2
0.5	0.5	ARAP3	ARAP3
0.5	0.5	ARCN1	ARCN1
0.5	0.5	ARF1	ARF1
0.5	0.5	ARF3	ARF3
0.5	0.5	ARF4	ARF4
0.5	0.5	ARF5	ARF5
0.5	0.5	ARF6	ARF6
0.5	0.5	ARFGAP1	ARFGAP1
0.5	0.5	ARFGAP2	ARFGAP2
0.5	0.5	ARFGAP3	ARFGAP3
0.5	0.5	ARFGEF1	ARFGEF1
0.5	0.5	ARFGEF2	ARFGEF2
0.5	0.5	ARFIP1	ARFIP1
0.5	0.5	ARFIP2	ARFIP2
0.5	0.5	ARFRP1	ARFRP1
0.5	0.5	ARG1	ARG1
0.5	0.5	ARG2	ARG2
0.5	0.5	ARGFXP2	ARGFXP2
0.5	0.5	ARGLU1	ARGLU1
0.5	0.5	ARHGAP1	ARHGAP1
0.5	0.5	ARHGAP10	ARHGAP10
0.5	0.5	ARHGAP11A	ARHGAP11A
0.5	0.5	ARHGAP11B	ARHGAP11B
0.5	0.5	ARHGAP12	ARHGAP12
0.5	0.5	ARHGAP15	ARHGAP15
0.5	0.5	ARHGAP17	ARHGAP17
0.5	0.5	ARHGAP18	ARHGAP18
0.5	0.5	ARHGAP19	ARHGAP19
0.5	0.5	ARHGAP21	ARHGAP21
0.5	0.5	ARHGAP22	ARHGAP22
0.5	0.5	ARHGAP23	ARHGAP23
0.5	0.5	ARHGAP24	ARHGAP24
0.5	0.5	ARHGAP25	ARHGAP25
0.5	0.5	ARHGAP26	ARHGAP26
0.5	0.5	ARHGAP27	ARHGAP27
0.5	0.5	ARHGAP30	ARHGAP30
0.5	0.5	ARHGAP32	ARHGAP32
0.5	0.5	ARHGAP33	ARHGAP33
0.5	0.5	ARHGAP4	ARHGAP4
0.5	0.5	ARHGAP5	ARHGAP5
0.5	0.5	ARHGAP9	ARHGAP9
0.5	0.5	ARHGDIA	ARHGDIA
0.5	0.5	ARHGDIB	ARHGDIB
0.5	0.5	ARHGEF1	ARHGEF1
0.5	0.5	ARHGEF10	ARHGEF10
0.5	0.5	ARHGEF11	ARHGEF11
0.5	0.5	ARHGEF12	ARHGEF12
0.5	0.5	ARHGEF17	ARHGEF17
0.5	0.5	ARHGEF18	ARHGEF18
0.5	0.5	ARHGEF19	ARHGEF19
0.5	0.5	ARHGEF2	ARHGEF2
0.5	0.5	ARHGEF3	ARHGEF3
0.5	0.5	ARHGEF6	ARHGEF6
0.5	0.5	ARHGEF7	ARHGEF7
0.5	0.5	ARHGEF9	ARHGEF9
0.5	0.5	ARID1A	ARID1A
0.5	0.5	ARID1B	ARID1B
0.5	0.5	ARID2	ARID2
0.5	0.5	ARID3A	ARID3A
0.5	0.5	ARID3B	ARID3B
0.5	0.5	ARID4A	ARID4A
0.5	0.5	ARID4B	ARID4B
0.5	0.5	ARID5A	ARID5A
0.5	0.5	ARID5B	ARID5B
0.5	0.5	ARIH1	ARIH1
0.5	0.5	ARIH2	ARIH2
0.5	0.5	ARL1	ARL1
0.5	0.5	ARL10	ARL10
0.5	0.5	ARL11	ARL11
0.5	0.5	ARL13B	ARL13B
0.5	0.5	ARL15	ARL15
0.5	0.5	ARL16	ARL16
0.5	0.5	ARL17A	ARL17A
0.5	0.5	ARL2	ARL2
0.5	0.5	ARL2BP	ARL2BP
0.5	0.5	ARL3	ARL3
0.5	0.5	ARL4A	ARL4A
0.5	0.5	ARL4C	ARL4C
0.5	0.5	ARL4D	ARL4D
0.5	0.5	ARL5A	ARL5A
0.5	0.5	ARL5B	ARL5B
0.5	0.5	ARL6	ARL6
0.5	0.5	ARL6IP1	ARL6IP1
0.5	0.5	ARL6IP4	ARL6IP4
0.5	0.5	ARL6IP5	ARL6IP5
0.5	0.5	ARL6IP6	ARL6IP6
0.5	0.5	ARL8A	ARL8A
0.5	0.5	ARL8B	ARL8B
0.5	0.5	ARMC1	ARMC1
0.5	0.5	ARMC10	ARMC10
0.5	0.5	ARMC2	ARMC2
0.5	0.5	ARMC5	ARMC5
0.5	0.5	ARMC6	ARMC6
0.5	0.5	ARMC7	ARMC7
0.5	0.5	ARMC8	ARMC8
0.5	0.5	ARMCX1	ARMCX1
0.5	0.5	ARMCX3	ARMCX3
0.5	0.5	ARMCX5	ARMCX5
0.5	0.5	ARMCX6	ARMCX6
0.5	0.5	ARNT	ARNT
0.5	0.5	ARNTL	ARNTL
0.5	0.5	ARPC1A	ARPC1A
0.5	0.5	ARPC1B	ARPC1B
0.5	0.5	ARPC2	ARPC2
0.5	0.5	ARPC3	ARPC3
0.5	0.5	ARPC4	ARPC4
0.5	0.5	ARPC5	ARPC5
0.5	0.5	ARPC5L	ARPC5L
0.5	0.5	ARPP19	ARPP19
0.5	0.5	ARRB1	ARRB1
0.5	0.5	ARRB2	ARRB2
0.5	0.5	ARRDC1	ARRDC1
0.5	0.5	ARRDC2	ARRDC2
0.5	0.5	ARRDC3	ARRDC3
0.5	0.5	ARRDC4	ARRDC4
0.5	0.5	ARRDC5	ARRDC5
0.5	0.5	ARSA	ARSA
0.5	0.5	ARSB	ARSB
0.5	0.5	ARSD	ARSD
0.5	0.5	ARSG	ARSG
0.5	0.5	ARSK	ARSK
0.5	0.5	ARV1	ARV1
0.5	0.5	ARVCF	ARVCF
0.5	0.5	ASAH1	ASAH1
0.5	0.5	ASAP1	ASAP1
0.5	0.5	ASAP1IT1	ASAP1IT1
0.5	0.5	ASAP2	ASAP2
0.5	0.5	ASB1	ASB1
0.5	0.5	ASB13	ASB13
0.5	0.5	ASB14	ASB14
0.5	0.5	ASB16	ASB16
0.5	0.5	ASB2	ASB2
0.5	0.5	ASB3	ASB3
0.5	0.5	ASB6	ASB6
0.5	0.5	ASB7	ASB7
0.5	0.5	ASB8	ASB8
0.5	0.5	ASCC1	ASCC1
0.5	0.5	ASCC2	ASCC2
0.5	0.5	ASCC3	ASCC3
0.5	0.5	ASCL2	ASCL2
0.5	0.5	ASF1A	ASF1A
0.5	0.5	ASF1B	ASF1B
0.5	0.5	ASH1L	ASH1L
0.5	0.5	ASH2L	ASH2L
0.5	0.5	ASL	ASL
0.5	0.5	ASMTL	ASMTL
0.5	0.5	ASNA1	ASNA1
0.5	0.5	ASNS	ASNS
0.5	0.5	ASNSD1	ASNSD1
0.5	0.5	ASPH	ASPH
0.5	0.5	ASPHD2	ASPHD2
0.5	0.5	ASPM	ASPM
0.5	0.5	ASPRV1	ASPRV1
0.5	0.5	ASPSCR1	ASPSCR1
0.5	0.5	ASRGL1	ASRGL1
0.5	0.5	ASTE1	ASTE1
0.5	0.5	ASXL1	ASXL1
0.5	0.5	ASXL2	ASXL2
